,number,time,duration,screen_x,screen_y
244,245,132709,179,782,792
245,246,132988,100,838,793
246,247,133187,199,854,790
247,248,133586,140,749,789
248,249,133805,100,756,782
249,250,134084,219,874,807
250,251,134981,219,780,822
251,252,136038,120,89,763
252,253,137075,100,764,798
253,254,137314,140,767,820
254,255,137613,199,769,821
255,256,137972,179,148,792
256,257,138829,219,94,787
257,258,139467,159,428,248
258,259,140165,179,608,248
259,260,141102,160,514,219
260,261,143256,100,50,178
261,262,144352,100,254,178
262,263,144850,219,81,787
263,264,145349,120,106,802
264,265,145548,100,85,776
265,266,145668,100,77,740
266,267,146146,100,73,665
267,268,146386,159,30,644
268,269,147143,120,92,616
269,270,148180,100,90,616
270,271,148439,180,92,642
271,272,149935,160,93,670
272,273,150333,140,98,686
273,274,150832,100,104,653
274,275,150991,100,96,648
275,276,151729,100,108,680
276,277,152666,100,101,635
277,278,152826,120,172,645
278,279,153503,259,728,727
279,280,154022,339,689,703
280,281,154600,160,757,735
281,282,154779,140,778,728
282,283,155118,239,766,749
283,284,155477,319,796,752
284,285,155836,120,786,767
285,286,156016,139,790,781
286,287,156235,120,803,762
287,288,156474,120,772,779
288,289,156614,179,826,765
289,290,156813,140,817,779
290,291,156972,200,777,756
291,292,157870,100,258,229
292,293,158169,120,254,219
293,294,158787,139,41,240
294,295,159285,120,287,176
295,296,160561,219,775,795
296,297,161219,120,757,728
297,298,161718,140,754,843
298,299,161897,179,744,820
299,300,162096,160,749,822
300,301,162396,140,693,830
301,302,162595,100,693,834
302,303,163352,180,729,625
303,304,163592,100,720,668
304,305,163851,140,747,573
305,306,164309,339,768,733
306,307,165067,120,757,805
307,308,165207,120,748,806
308,309,165885,180,721,796
309,310,167200,120,834,753
310,311,167499,120,784,742
311,312,167679,140,780,727
312,313,170470,100,109,670
313,314,171068,159,745,729
314,315,171268,259,735,718
315,316,171587,219,781,746
316,317,172085,120,779,767
317,318,172843,100,445,228
318,319,172962,140,433,167
319,320,175056,100,495,186
320,321,175873,120,49,191
321,322,176810,100,94,189
322,323,177030,160,36,203
323,324,177608,120,320,225
324,325,178066,120,92,710
325,326,178226,179,113,709
326,327,178924,120,110,753
327,328,179123,120,121,792
328,329,179960,140,811,791
329,330,180120,100,742,792
330,331,181117,179,299,234
331,332,182014,259,735,803
332,333,182313,199,745,811
333,334,182911,100,729,804
334,335,183370,100,685,796
335,336,183808,100,723,703
336,337,183928,120,757,741
337,338,184127,140,767,749
338,339,184287,179,776,721
339,340,184526,120,723,738
340,341,185124,219,795,758
341,342,185403,140,820,795
342,343,185603,160,788,797
343,344,186021,140,778,725
344,345,186360,120,798,776
345,346,187517,120,797,798
346,347,188294,140,790,813
347,348,188494,100,801,821
348,349,188972,100,760,720
349,350,189112,120,756,717
350,351,189251,100,769,729
351,352,189391,140,781,750
352,353,189989,140,82,706
353,354,190368,259,100,720
354,355,190966,459,109,749
355,356,191504,219,94,721
356,357,192441,120,785,823
357,358,192800,120,781,748
358,359,192999,120,784,785
359,360,193598,120,813,730
360,361,194375,100,737,703
361,362,194595,120,748,710
362,363,194993,140,794,814
363,364,195552,259,856,837
364,365,196748,140,120,683
365,366,197346,100,110,777
366,367,197884,159,130,710
367,368,198084,219,107,712
